date,open,high,low,close,volume
2013-05-09,26.881,27.007,26.5535,26.5787,10861627
2013-05-10,26.4947,26.6207,26.0077,26.3856,12811341
2013-05-13,26.1672,26.3268,25.9195,26.0329,8098076
2013-05-14,26.0497,26.6207,26.0413,26.4947,10679795
2013-05-15,26.4947,27.2085,26.4612,27.133,15085956
2013-05-16,26.9482,27.4353,26.8726,27.2001,10425265
2013-05-17,27.704,28.359,27.5528,28.0651,20903454
2013-05-20,28.0231,28.5606,28.0147,28.3002,15259160
2013-05-21,28.2079,28.5186,27.6116,28.0483,13790764
2013-05-22,27.8972,28.4934,27.704,27.9056,13122389
2013-05-23,27.1498,27.8048,26.9566,27.5864,10526525
2013-05-24,27.3345,27.7124,27.3009,27.6032,5861202
2013-05-28,28.5522,28.8041,28.3422,28.5186,16969363
2013-05-29,28.3086,28.8041,28.0903,28.5942,10867181
2013-05-30,28.5858,29.3164,28.443,29.0896,15085252
2013-05-31,28.9973,29.2072,28.4598,28.4598,10139302
2013-06-03,29.0308,29.1316,28.0315,28.9049,17729245
2013-06-04,29.7279,29.8034,29.182,29.3584,30513482
2013-06-05,29.3919,29.4507,28.5522,28.569,22344886
2013-06-06,28.6529,28.9973,28.3674,28.9217,79845529
2013-06-07,29.2156,29.4759,28.5522,29.4171,30684172
2013-06-10,29.5431,29.5935,28.9889,29.1736,15221212
2013-06-11,28.8629,28.9636,28.2079,28.4934,17023614
2013-06-12,28.7873,28.9385,27.914,28.0903,13641996
2013-06-13,28.0147,28.9805,27.7964,28.9721,15606498
2013-06-14,28.9385,29.0728,28.6278,28.7957,10090564
2013-06-17,28.9721,29.0224,28.2163,28.3254,10194907
2013-06-18,28.3842,28.6026,28.0819,28.5606,9926117
2013-06-19,28.569,28.7621,28.2583,28.2667,8426533
2013-06-20,28.0567,28.0567,27.1069,27.3429,29112355
2013-06-21,27.6788,27.6872,26.6543,27.049,19000454
2013-06-24,26.6711,26.7383,26.142,26.3856,18972879
2013-06-25,26.6627,26.8894,26.4863,26.7215,9268962
2013-06-26,27.0238,27.4605,26.8978,27.3345,10375271
2013-06-27,27.6452,28.1323,27.5277,27.7964,11004177
2013-06-28,27.7292,28.317,27.5445,27.9727,15817271
2013-07-01,28.1491,28.7117,28.0567,28.5522,10310799
2013-07-02,28.5858,29.3416,28.401,28.6362,15171868
2013-07-03,28.5018,28.8881,28.3506,28.6697,5715638
2013-07-05,28.8461,29.2492,28.7537,29.1148,7107285
2013-07-08,29.2072,29.4087,29.0057,29.0896,11234206
2013-07-09,29.308,29.6019,29.1568,29.3248,7243286
2013-07-10,29.308,29.6775,29.2576,29.6691,11853987
2013-07-11,29.9966,30.3997,29.9294,30.3493,13246313
2013-07-12,30.3073,30.7188,30.1561,30.5676,10743727
2013-07-15,30.7356,30.8364,30.4669,30.6516,8968185
2013-07-16,30.9623,31.0211,30.0302,30.3829,16273104
