date,open,high,low,close,volume
2013-05-09,11.1369,11.1918,11.1133,11.1447,30566130
2013-05-10,11.1526,11.1683,11.0035,11.0741,30873268
2013-05-13,11.0662,11.0819,10.925,10.9956,22756624
2013-05-14,10.9878,11.2232,10.9721,11.1997,32350627
2013-05-15,11.2075,11.5921,11.1997,11.5136,56843256
2013-05-16,11.5921,11.6549,11.4587,11.4901,40919484
2013-05-17,11.6078,11.8903,11.5764,11.8354,59733067
2013-05-20,11.7804,11.9531,11.7726,11.8118,34578841
2013-05-21,11.8275,11.9453,11.5764,11.7334,61823152
2013-05-22,11.8354,12.0237,11.6627,11.7491,67114125
2013-05-23,11.3802,11.7255,11.2781,11.6235,49123180
2013-05-24,11.545,11.6784,11.5058,11.6078,25287612
2013-05-28,11.9453,12.0473,11.8511,11.9924,59223351
2013-05-29,11.9845,12.3377,11.961,12.267,65140238
2013-05-30,12.3691,12.5731,12.3534,12.479,61753537
2013-05-31,12.4633,12.5888,12.3063,12.3063,52086386
2013-06-03,12.5025,12.6202,12.1729,12.4711,58994803
2013-06-04,12.5417,12.6281,12.267,12.3848,50248660
2013-06-05,12.322,12.3298,11.9139,11.9688,64777642
2013-06-06,11.9688,12.1493,11.8197,12.1179,54782758
2013-06-07,12.2278,12.3691,12.1336,12.3455,37090231
2013-06-10,12.4476,12.479,12.2435,12.3298,29575359
2013-06-11,12.1807,12.3063,12.0865,12.1729,35348661
2013-06-12,12.267,12.3298,12.0159,12.063,36194322
2013-06-13,12.0159,12.2426,11.9139,12.2278,34300811
2013-06-14,12.1807,12.22,12.0473,12.063,27185740
2013-06-17,12.1886,12.3377,12.1179,12.2043,31354450
2013-06-18,12.1964,12.3298,12.1179,12.2827,25948107
2013-06-19,12.2435,12.2592,12.0159,12.0237,35981899
2013-06-20,11.9217,11.9924,11.5764,11.6313,57279330
2013-06-21,11.7883,11.8158,11.4508,11.7726,48233720
2013-06-24,11.5136,11.6392,11.2232,11.5136,58595845
2013-06-25,11.6549,11.7726,11.647,11.7491,34018810
2013-06-26,11.8982,12.0159,11.8472,12.0002,39596179
2013-06-27,12.1101,12.322,12.0787,12.2827,35793732
2013-06-28,12.2121,12.2827,12.1179,12.1415,45062806
2013-07-01,12.2513,12.3926,12.2082,12.3534,35984832
2013-07-02,12.3691,12.7223,12.3141,12.6987,70247177
2013-07-03,12.6752,12.9106,12.6673,12.8949,38114464
2013-07-05,12.9734,13.1382,12.9342,13.1068,44706795
2013-07-08,13.2245,13.2873,13.1461,13.1932,41996739
2013-07-09,13.2324,13.2952,13.1225,13.2167,33762023
2013-07-10,13.1539,13.2481,13.0676,13.1225,38187401
2013-07-11,13.303,13.3344,13.2324,13.3266,34589170
2013-07-12,13.3266,13.4286,13.3186,13.4286,27298852
2013-07-15,13.5306,13.5699,13.4208,13.4365,26627980
2013-07-16,13.303,13.303,12.8792,13.0283,63262660
2013-07-17,13.0597,13.2089,13.044,13.1696,27868231
2013-07-18,13.201,13.3266,13.1696,13.2873,24574565
2013-07-19,13.2559,13.2559,13.0676,13.1539,29559210
2013-07-22,13.2402,13.3737,13.2089,13.3737,28719723
2013-07-23,13.4679,13.4757,13.201,13.2952,34935843
2013-07-24,13.719,13.872,13.5385,13.6327,78595655
2013-07-25,13.5463,13.5542,13.2481,13.3109,51475164
2013-07-26,13.2795,13.4443,13.2638,13.358,30337399
2013-07-29,13.4051,13.4914,13.3815,13.4051,27823585
2013-07-30,13.4914,13.5385,13.3894,13.4051,25848016
2013-07-31,13.4919,13.5393,13.2945,13.3261,42111658
2013-08-01,13.4524,13.5866,13.3814,13.5709,39508701
2013-08-02,13.5393,13.8156,13.5156,13.8156,32148204
2013-08-05,13.7682,13.8156,13.5077,13.5709,53799772
2013-08-06,13.563,13.6024,13.4209,13.4445,28981308
2013-08-07,13.3814,13.3893,13.1998,13.2393,33042464
2013-08-08,13.3735,13.4445,13.3182,13.4051,26592071
2013-08-09,13.3814,13.5077,13.3735,13.4366,25629457
2013-08-12,13.3498,13.5314,13.334,13.4761,23157208
2013-08-13,13.5393,13.5866,13.3893,13.4682,22344026
2013-08-14,13.4524,13.4682,13.3024,13.334,29230304
2013-08-15,13.1919,13.2077,12.8051,12.9709,55886189
2013-08-16,12.9866,13.1051,12.8051,12.8682,30460172
2013-08-19,12.8603,12.8761,12.7182,12.7261,27960353
2013-08-20,12.6788,12.9156,12.4893,12.8761,42591893
2013-08-21,12.8761,12.963,12.7182,12.8288,34915642
2013-08-22,12.8603,13.0182,12.8288,12.9551,16465117
2013-08-23,13.0024,13.0419,12.9077,12.9866,21544827
2013-08-26,12.9788,13.1209,12.9314,12.9551,24777171
2013-08-27,12.7577,12.7735,12.513,12.5367,43962950
2013-08-28,12.5209,12.7498,12.4024,12.6472,37027579
2013-08-29,12.7972,13.1524,12.7498,13.0261,47715136
2013-08-30,13.0893,13.0972,12.7269,12.7814,40255706
2013-09-03,12.963,13.0577,12.7972,12.8998,33447103
2013-09-04,12.9314,13.4366,12.9235,13.3498,69374295
2013-09-05,13.4998,13.6972,13.4445,13.6577,55960956
2013-09-06,13.6814,13.6893,13.2788,13.4209,61723626
2013-09-09,13.5077,13.7445,13.4998,13.6656,38467666
2013-09-10,13.8077,13.9577,13.713,13.8551,45821291
2013-09-11,13.8156,13.8787,13.7287,13.8472,32883634
2013-09-12,13.8551,13.863,13.6656,13.7287,26827826
2013-09-13,13.7761,13.8058,13.6419,13.6972,21573764
2013-09-16,13.8393,13.8866,13.6577,13.6972,27058546
2013-09-17,13.6972,13.7761,13.6577,13.7682,23154889
2013-09-18,13.7051,14.0287,13.6893,13.9143,45118246
2013-09-19,14.013,14.0287,13.8235,13.9419,30735416
2013-09-20,13.9814,13.9814,13.6577,13.7287,47932603
2013-09-23,13.634,13.6972,13.4051,13.5787,42733755
2013-09-24,13.6024,13.7366,13.484,13.6261,33519439
2013-09-25,13.6182,13.7366,13.5472,13.5709,31631410
2013-09-26,13.6261,13.7209,13.5156,13.634,32322032
2013-09-27,13.5551,13.5787,13.4209,13.4603,33993002
2013-09-30,13.2393,13.4288,13.1761,13.3182,36489432
2013-10-01,13.3656,13.6893,13.3577,13.5709,41793221
2013-10-02,13.4919,13.5945,13.3814,13.5866,29500880
2013-10-03,13.5077,13.5551,13.2314,13.3814,36603752
2013-10-04,13.3972,13.5314,13.3735,13.4919,24993902
2013-10-07,13.3103,13.3814,13.2709,13.2709,30310095
2013-10-08,13.2866,13.3024,12.9866,13.0261,45571503
2013-10-09,13.034,13.2156,12.9077,13.1209,50821049
2013-10-10,13.3182,13.4209,13.2866,13.3656,46907526
2013-10-11,13.4366,13.5156,13.3261,13.5077,30799401
2013-10-14,13.3656,13.6182,13.3577,13.563,31205665
2013-10-15,13.563,13.5866,13.3814,13.3972,39223865
2013-10-16,13.484,13.6498,13.4445,13.6498,33045989
2013-10-17,13.6103,13.8077,13.6103,13.784,26850557
2013-10-18,13.8314,13.8551,13.7603,13.8393,23007267
2013-10-21,13.8866,13.8945,13.7445,13.8156,22146804
2013-10-22,13.8551,13.9577,13.7682,13.8945,30053047
2013-10-23,13.9419,13.9814,13.7287,13.8314,45360882
2013-10-24,14.2182,14.2261,13.9261,14.0208,71305135
2013-10-25,14.084,14.0919,13.7524,13.8945,47471182
2013-10-28,13.9419,13.9893,13.8314,13.8708,37125608
2013-10-29,13.8708,13.9103,13.7445,13.9024,36910437
2013-10-30,13.9898,14.0056,13.696,13.7675,39727514
2013-10-31,13.7278,13.7595,13.5769,13.5848,38648221
